Name,AttributeDescription,Type,Units,Length,ValidValues,AggDefaultValues,DefaultValue1,DefaultValueDesciption1,DefaultValue2,DefaultValueDesciption2,DefaultValue3,DefaultValueDesciption3,DefaultValue4,DefaultValueDesciption4,DefaultValue5,DefaultValueDesciption5,DefaultValue6,DefaultValueDesciption6,Equifax_TU_Availability,LeveledWithExperian,ExpNewData_ArchiveAvailableDate_Arf7SubsegKeyword,RecommendedNotToUse_NCAPImpact
ALL0060,"Total number of trades excluding collections opened after the most recent trade derogatory (including collections and indeterminates), or public record bankruptcy",number,Trades,2,0-90,"99: No trade excluding collections
96: No trade with derogatory including collection or public record bankruptcy required",99,No trade excluding collections,96,No trade with derogatory including collection or public record bankruptcy required,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Impacted by NCAP changes
ALL0061,"Total number of trades excluding collections opened after the most recent trade derogatory (excluding collections and including indeterminates), or public record bankruptcy",number,Trades,2,0-90,"99: No trade excluding collections
96: No trade with derogatory excluding collection or public record bankruptcy required
",99,No trade excluding collections,96,No trade with derogatory excluding collection or public record bankruptcy required,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null
ALL0102,Total number of Freddie Mac trades including indeterminates,number,Trades,2,0-90,99: No trade excluding collections,99,No trade excluding collections,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Undefined: TU FFR v4.0 & 4.1 Standard/CreditVision,Null,Secondary Agency Indicator / 2010-06 / VERIFY-J4,Null
ALL0133,Total number of trades opened in the last 30 days excluding collections including indeterminates,number,Trades,2,0-90,99: No trade excluding collections,99,No trade excluding collections,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Undefined: EQU FFF v5 & AP v5,Can't be calculated if EQU FFF v6 day is '00' in the Date Open field,Null,Null
ALL0135,Total number of trades opened in the last 3 months excluding collections including indeterminates,number,Trades,2,0-90,99: No trade excluding collections,99,No trade excluding collections,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null
ALL0136,Total number of trades opened in the last 6 months excluding collections including indeterminates,number,Trades,2,0-90,99: No trade excluding collections,99,No trade excluding collections,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null
ALL0200,Total number of trades including collections,number,Trades,2,0-90,99: No trade including collections,99,No trade including collections,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Impacted by NCAP changes
ALL0201,Total number of trades credit grantor cannot locate consumer including collections,number,Trades,2,0-90,99: No trade including collections,99,No trade including collections,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Impacted by NCAP changes
ALL0206,Total number of trades legally paid in full for less than the full balance including collections,number,Trades,2,0-90,99: No trade including collections,99,No trade including collections,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Impacted by NCAP changes
ALL0213,Total number of trades reported in the last 3 months including collections,number,Trades,2,0-90,99: No trade including collections,99,No trade including collections,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Impacted by NCAP changes
ALL0216,Total number of trades reported in the last 6 months including collections,number,Trades,2,0-90,99: No trade including collections,99,No trade including collections,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Impacted by NCAP changes
ALL0217,Total number of trades reported in the last 12 months including collections,number,Trades,2,0-90,"99: No trade including collections

",99,No trade including collections,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Impacted by NCAP changes
ALL0218,Total number of trades reported in the last 24 months including collections,number,Trades,2,0-90,"99: No trade including collections
",99,No trade including collections,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Impacted by NCAP changes
ALL0300,Total number of trades excluding collections,number,Trades,2,0-90,"99: No trade excluding collections

",99,No trade excluding collections,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null
ALL0302,Total number of trades under a government loan modification plan excluding collections,number,Trades,2,0-90,99: No trade excluding collections,99,No trade excluding collections,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null
ALL0303,Total number of trades under a non-government loan modification plan excluding collections,number,Trades,2,0-90,99: No trade excluding collections,99,No trade excluding collections,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null
ALL0305,Total number of debt counseling trades excluding collections,number,Trades,2,0-90,99: No trade excluding collections,99,No trade excluding collections,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null
ALL0306,Total number of trades legally paid in full for less than the full balance excluding collections,number,Trades,2,0-90,99: No trade excluding collections,99,No trade excluding collections,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null
ALL0313,Total number of trades reported in the last 3 months excluding collections,number,Trades,2,0-90,99: No trade excluding collections,99,No trade excluding collections,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null
ALL0316,Total number of trades reported in the last 6 months excluding collections,number,Trades,2,0-90,99: No trade excluding collections,99,No trade excluding collections,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null
ALL0317,Total number of trades reported in the last 12 months excluding collections,number,Trades,2,0-90,"99: No trade excluding collections


",99,No trade excluding collections,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null
ALL0318,Total number of trades reported in the last 24 months excluding collections,number,Trades,2,0-90,"99: No trade excluding collections


",99,No trade excluding collections,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null
ALL0336,Total number of trades opened in the last 6 months excluding collections,number,Trades,2,0-90,"99: No trade excluding collections


",99,No trade excluding collections,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null
ALL0337,Total number of trades opened in the last 12 months excluding collections,number,Trades,2,0-90,"99: No trade excluding collections


",99,No trade excluding collections,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null
ALL0400,Total number of open trades,number,Trades,2,0-90,"99: No trade excluding collections


",99,No trade excluding collections,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null
ALL0416,Total number of open trades reported in the last 3 months ,number,Trades,2,0-90,"99: No trade excluding collections


",99,No trade excluding collections,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null
ALL0436,Total number of open trades opened in the last 6 months ,number,Trades,2,0-90,"99: No trade excluding collections


",99,No trade excluding collections,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null
