Name,AttributeDescription,Type,Units,Length,ValidValues,AggDefaultValues,DefaultValue1,DefaultValueDesciption1,DefaultValue2,DefaultValueDesciption2,DefaultValue3,DefaultValueDesciption3,DefaultValue4,DefaultValueDesciption4,DefaultValue5,DefaultValueDesciption5,DefaultValue6,DefaultValueDesciption6,Equifax_TU_Availability,LeveledWithExperian,ExpNewData_ArchiveAvailableDate_Arf7SubsegKeyword,RecommendedNotToUse_NCAPImpact
ALL5020,Total balance on open trades reported in the last 3 months ,number,$,9,0-999999990,"999999999: No trade excluding collections
999999997: No trade reported within timeframe required
999999996: No open trade reported within timeframe required
",999999999,No trade excluding collections,999999997,No trade reported within timeframe required,999999996,No open trade reported within timeframe required,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null
ALL5030,"Total balance on open, or closed with a balance > $0 trades, reported in the last 3 months excluding derogatory and collection trades ",number,$,9,0-999999990,"999999999: No trade excluding collections
999999997: No trade reported within timeframe required
999999996: No open, or closed with a balance > $0 trade, excluding derogatory trades reported within timeframe required
",999999999,No trade excluding collections,999999997,No trade reported within timeframe required,999999996,"No open, or closed with a balance > $0 trade, excluding derogatory trades reported within timeframe required",Null,Null,Null,Null,Null,Null,Null,Null,Null,Null
ALL5040,Total balance on trades presently 30 days delinquent reported in the last 6 months,number,$,9,0-999999990,"999999999: No trade excluding collections
999999997: No trade reported within timeframe required
999999996: No open or closed trade reported within timeframe required
",999999999,No trade excluding collections,999999997,No trade reported within timeframe required,999999996,No open or closed trade reported within timeframe required,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null
ALL5042,Total balance on trades presently 30 or more days delinquent or derogatory occurred in the last 6 months including collections,number,$,9,0-999999990,"999999999: No trade including collections
999999997: No trade reported within timeframe required
999999996: No open or closed trade reported within timeframe required
",999999999,No trade including collections,999999997,No trade reported within timeframe required,999999996,No open or closed trade reported within timeframe required,Null,Null,Null,Null,Null,Null,Null,Null,Null,Impacted by NCAP changes
ALL5043,Total balance on trades presently 60 days delinquent reported in the last 6 months,number,$,9,0-999999990,"999999999: No trade excluding collections
999999997: No trade reported within timeframe required
999999996: No open or closed trade reported within timeframe required
",999999999,No trade excluding collections,999999997,No trade reported within timeframe required,999999996,No open or closed trade reported within timeframe required,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null
ALL5045,Total balance on trades presently 60 or more days delinquent or derogatory occurred in the last 6 months including collections,number,$,9,0-999999990,"999999999: No trade including collections
999999997: No trade reported within timeframe required
999999996: No open or closed trade reported within timeframe required
",999999999,No trade including collections,999999997,No trade reported within timeframe required,999999996,No open or closed trade reported within timeframe required,Null,Null,Null,Null,Null,Null,Null,Null,Null,Impacted by NCAP changes
ALL5047,Total balance on trades presently 90-180 days delinquent reported in the last 6 months,number,$,9,0-999999990,"999999999: No trade excluding collections
999999997: No trade reported within timeframe required
999999996: No open or closed trade reported within timeframe required
",999999999,No trade excluding collections,999999997,No trade reported within timeframe required,999999996,No open or closed trade reported within timeframe required,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null
ALL5048,Total balance on trades presently 90 or more days delinquent or derogatory occurred in the last 6 months including collections,number,$,9,0-999999990,"999999999: No trade including collections
999999997: No trade reported within timeframe required
999999996: No open or closed trade reported within timeframe required
",999999999,No trade including collections,999999997,No trade reported within timeframe required,999999996,No open or closed trade reported within timeframe required,Null,Null,Null,Null,Null,Null,Null,Null,Null,Impacted by NCAP changes
ALL5070,Total balance on trades presently derogatory occurred in the last 6 months including collections,number,$,9,0-999999990,"999999999: No trade including collections
999999997: No trade reported within timeframe required
999999996: No open or closed trade reported within timeframe required
",999999999,No trade including collections,999999997,No trade reported within timeframe required,999999996,No open or closed trade reported within timeframe required,Null,Null,Null,Null,Null,Null,Null,Null,Null,Impacted by NCAP changes
ALL5321,Total credit amount on open trades,number,$,9,0-999999990,"999999999: No trade excluding collections
999999996: No open trade ",999999999,No trade excluding collections,999999996,No open trade ,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null
ALL5341,Total balance on trades ever charged-off,number,$,9,0-999999990,"999999999: No trade excluding collections
999999996: No open or closed trade
",999999999,No trade excluding collections,999999996,No open or closed trade,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null
ALL5360,Total credit amount on unsatisfied derogatory trades including collections,number,$,9,0-999999990,"999999999: No trade including collections
999999996: No open or closed trade
",999999999,No trade including collections,999999996,No open or closed trade,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Impacted by NCAP changes
ALL5071,Total balance on trades presently derogatory occurred in the last 6 months excluding collections,number,$,9,0-999999990,"999999999: No trade excluding collections
999999997: No trade reported within timeframe required
999999996: No open or closed trade reported within timeframe required
",999999999,No trade excluding collections,999999997,No trade reported within timeframe required,999999996,No open or closed trade reported within timeframe required,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null
ALL5120,Maximum balance on open trades reported in the last 3 months,number,$,9,0-999999990,"999999999: No trade excluding collections
999999997: No trade reported within timeframe required
999999996: No open trade reported within timeframe required

",999999999,No trade excluding collections,999999997,No trade reported within timeframe required,999999996,No open trade reported within timeframe required,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null
ALL5320,Total credit amount on open trades reported in the last 3 months ,number,$,9,0-999999990,"999999999: No trade excluding collections
999999997: No trade reported within timeframe required
999999996: No open trade reported within timeframe required
",999999999,No trade excluding collections,999999997,No trade reported within timeframe required,999999996,No open trade reported within timeframe required,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null
ALL5361,Total credit amount on unsatisfied derogatory trades excluding collections,number,$,9,0-999999990,"999999999: No trade excluding collections
999999996: No open or closed trade
",999999999,No trade excluding collections,999999996,No open or closed trade,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null
ALL5420,Maximum credit amount on open trades reported in the last 3 months ,number,$,9,0-999999990,"999999999: No trade excluding collections
999999997: No trade reported within timeframe required
999999996: No open trade reported within timeframe required
",999999999,No trade excluding collections,999999997,No trade reported within timeframe required,999999996,No open trade reported within timeframe required,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null
ALL5460,Maximum credit amount on unsatisfied derogatory trades including collections,number,$,9,0-999999990,"999999999: No trade including collections
999999996: No open or closed trade
",999999999,No trade including collections,999999996,No open or closed trade,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Impacted by NCAP changes
ALL5461,Maximum credit amount on unsatisfied derogatory trades excluding collections,number,$,9,0-999999990,"999999999: No trade excluding collections
999999996: No open or closed trade
",999999999,No trade excluding collections,999999996,No open or closed trade,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null
ALL5530,"Average balance on open, or closed with a balance > $0 trades, reported in the last 3 months excluding derogatory and collection trades ",number,$,9,0-999999990,"999999999: No trade excluding collections
999999997: No trade reported within timeframe required
999999996: No open, or closed with a balance > $0 trade, excluding derogatory trades reported within timeframe required
",999999999,No trade excluding collections,999999997,No trade reported within timeframe required,999999996,"No open, or closed with a balance > $0 trade, excluding derogatory trades reported within timeframe required",Null,Null,Null,Null,Null,Null,Null,Null,Null,Null
ALL5630,"Total balance on open, or closed with a balance > $0 trades reported in the last 3 months, opened 36 months or older with at least 2 or more occurrences of 30 or more days delinquency in the last 24 months excluding derogatory trades",number,$,9,0-999999990,"999999999: No trade excluding collections
999999997: No trade reported within timeframe required and with a valid open date
999999996: No open, or closed with a balance > $0 trade, excluding derogatory trades reported within timeframe required and with a valid open date
",999999999,No trade excluding collections,999999997,No trade reported within timeframe required and with a valid open date,999999996,"No open, or closed with a balance > $0 trade, excluding derogatory trades reported within timeframe required and with a valid open date",Null,Null,Null,Null,Null,Null,Null,Null,Null,Null
ALL5717,"Total balance on open, or closed with a balance > $0 trades reported in the last 3 months, opened 18 months or older and where the behavior in most recent twelve months (0-12) is worse than the payment behavior in previous twelve months (13-24) excluding derogatory trades",number,$,9,0-999999990,"999999999: No trade excluding collections
999999997: No trade reported within timeframe required and with a valid open date
999999996: No open, or closed with a balance > $0 trade, excluding derogatory trades reported within timeframe required and with a valid open date
",999999999,No trade excluding collections,999999997,No trade reported within timeframe required and with a valid open date,999999996,"No open, or closed with a balance > $0 trade, excluding derogatory trades reported within timeframe required and with a valid open date",Null,Null,Null,Null,Null,Null,Null,Null,Null,Null
ALL5740,Total amount past due on trades presently 30 days delinquent reported in the last 6 months,number,$,9,0-999999990,"999999999: No trade excluding collections
999999997: No trade reported within timeframe required
999999996: No open or closed trade reported within timeframe required
",999999999,No trade excluding collections,999999997,No trade reported within timeframe required,999999996,No open or closed trade reported within timeframe required,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null
ALL5742,Total amount past due on trades presently 30 or more days delinquent or derogatory occurred in the last 6 months excluding collections,number,$,9,0-999999990,"999999999: No trade excluding collections
999999997: No trade reported within timeframe required
999999996: No open or closed trade reported within timeframe required
",999999999,No trade excluding collections,999999997,No trade reported within timeframe required,999999996,No open or closed trade reported within timeframe required,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null
ALL9130,Total number of public record judgments,number,PubRec,2,0-90,No special default values,Null,No special default values,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Not Usable due to NCAP changes
ALL9134,Total number of public record judgments with status reported in the last 12 months,number,PubRec,2,0-90,No special default values,Null,No special default values,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Not Usable due to NCAP changes
ALL9135,Total number of public record judgments with status reported in the last 24 months,number,PubRec,2,0-90,No special default values,Null,No special default values,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Not Usable due to NCAP changes
ALL5743,Total amount past due on trades presently 60 days delinquent reported in the last 6 months,number,$,9,0-999999990,"999999999: No trade excluding collections
999999997: No trade reported within timeframe required
999999996: No open or closed trade reported within timeframe required
",999999999,No trade excluding collections,999999997,No trade reported within timeframe required,999999996,No open or closed trade reported within timeframe required,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null
ALL5747,Total amount past due on trades presently 90-180 days delinquent reported in the last 6 months,number,$,9,0-999999990,"999999999: No trade excluding collections
999999997: No trade reported within timeframe required
999999996: No open or closed trade reported within timeframe required
",999999999,No trade excluding collections,999999997,No trade reported within timeframe required,999999996,No open or closed trade reported within timeframe required,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null
ALL5770,Total amount past due on trades presently derogatory occurred in the last 6 months excluding collections,number,$,9,0-999999990,"999999999: No trade excluding collections
999999997: No trade reported within timeframe required
999999996: No open or closed trade reported within timeframe required
",999999999,No trade excluding collections,999999997,No trade reported within timeframe required,999999996,No open or closed trade reported within timeframe required,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null
ALL5820,Total monthly payment on open trades reported in the last 3 months ,number,$,9,0-999999990,"999999999: No trade excluding collections
999999997: No trade reported within timeframe required
999999996: No open trade reported within timeframe required
",999999999,No trade excluding collections,999999997,No trade reported within timeframe required,999999996,No open trade reported within timeframe required,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null
ALL5825,Total monthly payment on open trades reported in the last 3 months excluding real-estate property management trades,number,$,9,0-999999990,"999999999: No trade excluding collections
999999998: No non-real-estate property management trade
999999997: No non-real-estate property management trade reported within timeframe required
999999996: No open non-real-estate property management trade reported within timeframe required
",999999999,No trade excluding collections,999999998,No non-real-estate property management trade,999999997,No non-real-estate property management trade reported within timeframe required,999999996,No open non-real-estate property management trade reported within timeframe required,Null,Null,Null,Null,Null,Null,Null,Null
ALL5830,"Total monthly payment on open, or closed with a balance > $0 trades, reported in the last 3 months excluding derogatory and collection trades ",number,$,9,0-999999990,"999999999: No trade excluding collections
999999997: No trade reported within timeframe required
999999996: No open, or closed with a balance > $0 trades, excluding derogatory trades reported within timeframe required
",999999999,No trade excluding collections,999999997,No trade reported within timeframe required,999999996,"No open, or closed with a balance > $0 trades, excluding derogatory trades reported within timeframe required",Null,Null,Null,Null,Null,Null,Null,Null,Null,Null
ALL5835,"Total monthly payment on open, or closed with a balance > $0 trades, reported in the last 3 months excluding derogatory, collections, and real-estate property management trades",number,$,9,0-999999990,"999999999: No trade excluding collections
999999998: No non-real-estate property management trade
999999997: No non-real-estate property management trade reported within timeframe required
999999996: No open, or closed with a balance > $0 non-real-estate property management trade, excluding derogatory trades reported within timeframe required
",999999999,No trade excluding collections,999999998,No non-real-estate property management trade,999999997,No non-real-estate property management trade reported within timeframe required,999999996,"No open, or closed with a balance > $0 non-real-estate property management trade, excluding derogatory trades reported within timeframe required",Null,Null,Null,Null,Null,Null,Null,Null
ALL5840,"Total scheduled payment on open, or closed with a balance > $0 trades, reported in the last 3 months excluding derogatory and collection trades ",number,$,9,0-999999990,"999999999: No trade excluding collections
999999997: No trade reported within timeframe required
999999996: No open, or closed with a balance > $0 trades, excluding derogatory trades reported within timeframe required
",999999999,No trade excluding collections,999999997,No trade reported within timeframe required,999999996,"No open, or closed with a balance > $0 trades, excluding derogatory trades reported within timeframe required",Null,Null,Null,Null,Null,Null,Null,Null,Null,Null
ALL5935,"Total actual payment on open, or closed with a balance > $0 trades, excluding derogatory trades, reported in the last 3 months, excluding real-estate property management trades ",number,$,9,0-999999990,"999999999: No trade excluding collections
999999998: No non-real-estate property management trade
999999997: No non-real-estate property management trade reported within timeframe required
999999996: No open, or closed with a balance > $0 non-real-estate property management trades, excluding derogatory trades reported within timeframe required",999999999,No trade excluding collections,999999998,No non-real-estate property management trade,999999997,No non-real-estate property management trade reported within timeframe required,999999996,"No open, or closed with a balance > $0 non-real-estate property management trades, excluding derogatory trades reported within timeframe required",Null,Null,Null,Null,"Undefined: EQU FFF v5 & AP v5; TU FFR v4.0 & v4.1 Standard
Optional: TU FFR v4.0 & v4.1 CreditVision",Null,Actual Payment / 2011-08 / VERIFY-J3,Null
ALL6100,Worst present status on a trade including collections and indeterminates,number,Rank,3,0-400,999: No trade including collections,999,No trade including collections,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Impacted by NCAP changes
ALL6120,Worst present status on an open trade opened in the last 24 months,number,Rank,3,0-400,"999: No trade excluding collections
994: No trade opened within timeframe required

",999,No trade excluding collections,994,No trade opened within timeframe required,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null
ALL6190,Worst present status on an open trade reported in the last 3 months,number,Rank,3,0-400,"999: No trade excluding collections
997: No trade reported within timeframe required

",999,No trade excluding collections,997,No trade reported within timeframe required,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null
ALL6200,Worst ever status on a trade including collections and indeterminates,number,Rank,3,0-400,"999: No trade including collections


",999,No trade including collections,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Impacted by NCAP changes
ALL6160,Worst present status on a trade reported in the last 6 months including collections and indeterminates,number,Rank,3,0-400,"999: No trade including collections
997: No trade reported within timeframe required

",999,No trade including collections,997,No trade reported within timeframe required,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Impacted by NCAP changes
ALL6203,"Worst ever status on the most recently opened trade, excluding collections including indeterminates",number,Rank,3,0-400,"999: No trade excluding collections
996: No open, closed, or indeterminate trade
994: No open, closed, or indeterminate trade with a valid open date",999,No trade excluding collections,996,"No open, closed, or indeterminate trade",994,"No open, closed, or indeterminate trade with a valid open date",Null,Null,Null,Null,Null,Null,Null,Null,Null,Null
ALL6210,Worst ever status on a trade opened in the last 12 months excluding collections including indeterminates,number,Rank,3,0-400,"999: No trade excluding collections
994: No trade opened within timeframe required",999,No trade excluding collections,994,No trade opened within timeframe required,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null
ALL6220,Worst ever status on a trade opened in the last 24 months excluding collections including indeterminates,number,Rank,3,0-400,"999: No trade excluding collections
994: No trade opened within timeframe required",999,No trade excluding collections,994,No trade opened within timeframe required,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null
ALL6230,Worst ever status on a trade opened in the last 36 months excluding collections including indeterminates,number,Rank,3,0-400,"999: No trade excluding collections
994: No trade opened within timeframe required",999,No trade excluding collections,994,No trade opened within timeframe required,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null
ALL6250,Worst ever status on a trade in the first 12 months of open date excluding collections including indeterminates,number,Rank,3,0-400,"999: No trade excluding collections
994: No trade with a valid open date",999,No trade excluding collections,994,No trade with a valid open date,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null
ALL6270,Worst ever status on a trade in the last 12 months including collections and indeterminates,number,Rank,3,0-400,"999: No trade including collections
997: No trade reported within timeframe required

",999,No trade including collections,997,No trade reported within timeframe required,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Impacted by NCAP changes
ALL6280,Worst ever status on a trade in the last 24 months including collections and indeterminates,number,Rank,3,0-400,"999: No trade including collections
997: No trade reported within timeframe required

",999,No trade including collections,997,No trade reported within timeframe required,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Impacted by NCAP changes
ALL6310,"Type of trade industry of the oldest opened trade excluding collections including indeterminates (1=MTA, 2=BCA, 3=AUA, 4=RTA, 5=STU, 6=ILN, 7=UTI, 8=CRU, 9=others)",number,Rank,2,9-Jan,"99: No trade excluding collections
96: No open, closed, or indeterminate trade
94: No open, closed, or indeterminate trade with a valid open date",99,No trade excluding collections,96,"No open, closed, or indeterminate trade",94,"No open, closed, or indeterminate trade with a valid open date",Null,Null,Null,Null,Null,Null,Null,Null,Null,Null
ALL6320,"Type of trade industry of the most recently opened trade excluding collections including indeterminates (1=MTA, 2=BCA, 3=AUA, 4=RTA, 5=STU, 6=ILN, 7=UTI, 8=CRU, 9=others)",number,Rank,2,9-Jan,"99: No trade excluding collections
96: No open, closed, or indeterminate trade
94: No open, closed, or indeterminate trade with a valid open date",99,No trade excluding collections,96,"No open, closed, or indeterminate trade",94,"No open, closed, or indeterminate trade with a valid open date",Null,Null,Null,Null,Null,Null,Null,Null,Null,Null
ALL6400,Worst present status on a trade excluding collections including indeterminates,number,Rank,3,0-400,999: No trade excluding collections,999,No trade excluding collections,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null
ALL6460,Worst present status on a trade reported in the last 6 months excluding collections including indeterminates,number,Rank,3,0-400,"999: No trade excluding collections
997: No trade reported within timeframe required

",999,No trade excluding collections,997,No trade reported within timeframe required,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null
ALL6500,"Worst present status on a non-collection trade when the only collection present is medical, including indeterminates",number,Rank,3,0-400,"999: No trade excluding collections
998: No qualified collections
",999,No trade excluding collections,998,No qualified collections,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Original Creditor Classification Code / 2011-08 / VERIFY-J4,Impacted by NCAP changes
ALL6600,"Worst ever status on a non-collection trade when the only collection present is medical, including indeterminates",number,Rank,3,0-400,"999: No trade excluding collections
998: No qualified collections
",999,No trade excluding collections,998,No qualified collections,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Original Creditor Classification Code / 2011-08 / VERIFY-J4,Impacted by NCAP changes
ALL6700,"Worst present status on a non-collection trade when the collection present is non-medical, including indeterminates",number,Rank,3,0-400,"999: No trade excluding collections
998: No qualified collections
",999,No trade excluding collections,998,No qualified collections,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Original Creditor Classification Code / 2011-08 / VERIFY-J4,Impacted by NCAP changes
ALL7340,Percentage of trades including collections that are ever 30 or more days delinquent or derogatory,number,%,3,0-100,"999: No trade including collections
994: No open or closed trade


",999,No trade including collections,994,No open or closed trade,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Impacted by NCAP changes
ALL9120,Total number of public record bankruptcies,number,PubRec,2,0-90,No special default values,Null,No special default values,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null
ALL9121,Total number of public record discharged bankruptcies,number,PubRec,2,0-90,No special default values,Null,No special default values,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null
ALL9122,Total number of public record dismissed bankruptcies,number,PubRec,2,0-90,No special default values,Null,No special default values,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null
ALL6800,"Worst ever status on a non-collection trade when the collection present is non-medical, including indeterminates",number,Rank,3,0-400,"999: No trade excluding collections
998: No qualified collections
",999,No trade excluding collections,998,No qualified collections,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Original Creditor Classification Code / 2011-08 / VERIFY-J4,Impacted by NCAP changes
ALL6900,Worst ever status on a trade excluding collections including indeterminates,number,Rank,3,0-400,999: No trade excluding collections,999,No trade excluding collections,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null
ALL6901,Worst ever status on a trade including unsatisfied collections and indeterminates,number,Rank,3,0-400,999: No trade including collections,999,No trade including collections,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Impacted by NCAP changes
ALL6970,Worst ever status on a trade in the last 12 months excluding collections including indeterminates,number,Rank,3,0-400,"999: No trade excluding collections
997: No trade reported within timeframe required

",999,No trade excluding collections,997,No trade reported within timeframe required,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null
ALL6971,Worst ever status on a trade in the last 12 months including unsatisfied collections and indeterminates,number,Rank,3,0-400,"999: No trade including collections
997: No trade reported within timeframe required

",999,No trade including collections,997,No trade reported within timeframe required,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Impacted by NCAP changes
ALL6980,Worst ever status on a trade in the last 24 months excluding collections including indeterminates,number,Rank,3,0-400,"999: No trade excluding collections
997: No trade reported within timeframe required

",999,No trade excluding collections,997,No trade reported within timeframe required,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null
ALL6981,Worst ever status on a trade in the last 24 months including unsatisfied collections and indeterminates,number,Rank,3,0-400,"999: No trade including collections
997: No trade reported within timeframe required

",999,No trade including collections,997,No trade reported within timeframe required,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Impacted by NCAP changes
ALL7110,Overall balance to credit amount ratio on open trades reported in the last 3 months with credit amount > $0,number,%,3,0-990,"999: No trade excluding collections
997: No trade reported within timeframe required
996: No open trade reported within timeframe required
995: No open trade reported within timeframe required with credit amount > $0
",999,No trade excluding collections,997,No trade reported within timeframe required,996,No open trade reported within timeframe required,995,No open trade reported within timeframe required with credit amount > $0,Null,Null,Null,Null,Null,Null,Null,Null
ALL7111,Overall balance to credit amount ratio on open trades with credit amount > $0,number,%,3,0-990,"999: No trade excluding collections
996: No open trade 
995: No open trade with credit amount > $0
",999,No trade excluding collections,996,No open trade ,995,No open trade with credit amount > $0,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null
ALL7113,Overall balance to credit amount ratio on open trades opened and reported in the last 30 days with credit amount > $0,number,%,3,0-990,"999: No trade excluding collections
997: No trade reported within timeframe required
996: No open trade reported within timeframe required
995: No open trade reported within timeframe required with credit amount > $0
994: No open trade opened and reported within timeframe required with credit amount > $0",999,No trade excluding collections,997,No trade reported within timeframe required,996,No open trade reported within timeframe required,995,No open trade reported within timeframe required with credit amount > $0,994,No open trade opened and reported within timeframe required with credit amount > $0,Null,Null,Undefined: EQU FFF v5 & AP v5,Can't be calculated if EQU FFF v6 day is '00' in the Date Open field,Null,Null
ALL7115,Overall balance to credit amount ratio on open trades opened in the last 3 months with credit amount > $0,number,%,3,0-990,"999: No trade excluding collections
996: No open trade
995: No open trade with credit amount > $0
994: No open trade opened within timeframe required with credit amount > $0",999,No trade excluding collections,996,No open trade,995,No open trade with credit amount > $0,994,No open trade opened within timeframe required with credit amount > $0,Null,Null,Null,Null,Null,Null,Null,Null
ALL7116,Overall balance to credit amount ratio on open trades opened in the last 6 months with credit amount > $0,number,%,3,0-990,"999: No trade excluding collections
996: No open trade reported within timeframe required
995: No open trade with credit amount > $0
994: No open trade opened within timeframe required with credit amount > $0",999,No trade excluding collections,996,No open trade reported within timeframe required,995,No open trade with credit amount > $0,994,No open trade opened within timeframe required with credit amount > $0,Null,Null,Null,Null,Null,Null,Null,Null
ALL7120,Maximum single balance to credit amount ratio on an open trade reported in the last 3 months with credit amount > $0,number,%,3,0-990,"999: No trade excluding collections
997: No trade reported within timeframe required
996: No open trade reported within timeframe required
995: No open trade reported within timeframe required with credit amount > $0
",999,No trade excluding collections,997,No trade reported within timeframe required,996,No open trade reported within timeframe required,995,No open trade reported within timeframe required with credit amount > $0,Null,Null,Null,Null,Null,Null,Null,Null
ALL7310,Percentage of trades excluding collections that are open trades reported in the last 3 months,number,%,3,0-100,"999: No trade excluding collections
994: No open or closed trade
",999,No trade excluding collections,994,No open or closed trade,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null
ALL7311,Percentage of trades excluding collections that are open trades,number,%,3,0-100,"999: No trade excluding collections
994: No open or closed trade

",999,No trade excluding collections,994,No open or closed trade,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null
ALL7330,Percentage of trades excluding collections that are never delinquent or derogatory,number,%,3,0-100,"999: No trade excluding collections
994: No open or closed trade


",999,No trade excluding collections,994,No open or closed trade,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null
ALL7331,Percentage of trades including collections that are never delinquent or derogatory,number,%,3,0-100,"999: No trade including collections
994: No open or closed trade
",999,No trade including collections,994,No open or closed trade,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Impacted by NCAP changes
ALL7130,Balance to credit amount ratio on an open trade with the highest balance and credit amount > $0 reported in the last 3 months,number,%,3,0-990,"999: No trade excluding collections
997: No trade reported within timeframe required
996: No open trade reported within timeframe required
995: No open trade reported within timeframe required with credit amount > $0
",999,No trade excluding collections,997,No trade reported within timeframe required,996,No open trade reported within timeframe required,995,No open trade reported within timeframe required with credit amount > $0,Null,Null,Null,Null,Null,Null,Null,Null
ALL7140,Overall balance to credit limit ratio on open trades reported in the last 3 months with credit limit > $0,number,%,3,0-990,"999: No trade excluding collections
997: No trade reported within timeframe required
996: No open trade reported within timeframe required
995: No open trade reported within timeframe required with credit limit > $0
",999,No trade excluding collections,997,No trade reported within timeframe required,996,No open trade reported within timeframe required,995,No open trade reported within timeframe required with credit limit > $0,Null,Null,Null,Null,Null,Not Leveled: EQU FFF v5 & AP v5,Null,Null
ALL7170,Overall amount past due to balance ratio on trades reported in the last 3 months excluding collections,number,%,3,0-990,"999: No trade excluding collections
997: No trade reported within timeframe required
996: No open or closed trade reported within timeframe required
995: No open or closed trade reported within timeframe required with a balance > $0
",999,No trade excluding collections,997,No trade reported within timeframe required,996,No open or closed trade reported within timeframe required,995,No open or closed trade reported within timeframe required with a balance > $0,Null,Null,Null,Null,Null,Null,Null,Null
ALL7312,Percentage of trades reported in the last 3 months excluding collections that are open trades,number,%,3,0-100,"999: No trade excluding collections
994: No open or closed trade reported within timeframe required",999,No trade excluding collections,994,No open or closed trade reported within timeframe required,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null
ALL7320,Percentage of trades excluding collections that have a balance > $0 reported in the last 3 months excluding derogatory,number,%,3,0-100,"999: No trade excluding collections
997: No trade reported within timeframe required
994: No open or closed trade

",999,No trade excluding collections,997,No trade reported within timeframe required,994,No open or closed trade,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null
ALL7332,Percentage of trades reported in the last 6 months and excluding collections that are never delinquent or derogatory occurred in the last 6 months,number,%,3,0-100,"999: No trade excluding collections
997: No trade reported within timeframe required
994: No open or closed trade reported within timeframe required

",999,No trade excluding collections,997,No trade reported within timeframe required,994,No open or closed trade reported within timeframe required,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null
